Regiões,2010_hec_k,2010_%,2015_hec_k,2015_%
ALTO MINHO,23.9,35.3236772095773,24.28,33.8
ALTO TÂMEGA,38.79,56.83516483516483,39.54,55.7
ÁREA METROPOLITANA DO PORTO,9.11,10.958739323950441,11.63,14.0
AVE,13.2,30.212863355458914,13.0,28.8
CÁVADO,14.9,38.862806468440276,13.92,34.5
DOURO,38.17,55.84491587417703,36.27,51.6
TÂMEGA E SOUSA,18.09,31.625874125874127,16.31,27.7
TERRAS DE TRÁS OS MONTES,17.7,13.860610806577917,24.92,17.2
BEIRA BAIXA,61.7,37.88995332842054,72.54,39.0
BEIRAS E SERRA DA ESTRELA,54.53,53.3457249070632,61.42,55.0
MÉDIO TEJO,54.59,35.75451925596019,51.81,33.7
OESTE,18.07,29.420384239661345,17.26,28.0
REGIÃO DE AVEIRO,21.53,26.85208281366924,18.89,23.5
REGIÃO DE COIMBRA,96.95,42.46233356692362,87.77,37.7
REGIÃO DE LEIRIA,75.1,57.983323038912914,66.92,52.4
VISEU DÃO LAFÕES,85.14,62.7182320441989,83.36,60.0
ÁREA METROPOLITANA DE LISBOA,12.97,20.25929397063418,13.54,20.4
ALENTEJO CENTRAL,1.5,0.4402441887767083,0.97,0.3
ALENTEJO LITORAL,33.09,11.148921832884103,29.66,10.2
ALTO ALENTEJO,12.33,4.670808394575347,11.72,4.6
BAIXO ALENTEJO,0.75,0.3122008075594222,0.75,0.3
LEZÍRIA DO TEJO,12.83,6.150232491251618,12.0,5.9
ALGARVE,4.42,3.105895580071675,4.77,3.3
